,prompt,layer,head,head_output,model
0,Hippocrates was from the country of,0,0,"[ 3.6669488   4.1771674   1.1519797  ...  0.44958568 -0.01003307
  3.4595203 ]",gpt2-small
1,Hippocrates was from the country of,0,1,"[ 2.8389688   3.4547675   0.23947585 ... -2.7543473  -2.6024044
  4.4897265 ]",gpt2-small
2,Hippocrates was from the country of,0,2,"[ 5.3571644   5.1826572   3.0346994  ... -0.63743097 -0.8708453
  4.934633  ]",gpt2-small
3,Hippocrates was from the country of,0,3,"[ 2.6868834   3.40731     0.6362699  ... -0.1582982   0.57244325
  2.9092402 ]",gpt2-small
4,Hippocrates was from the country of,0,4,"[ 3.8539064   4.004564    2.647911   ... -0.9951328  -0.82193816
  4.4233594 ]",gpt2-small
5,Hippocrates was from the country of,0,5,"[ 2.8071508   3.8572955   1.7011254  ... -0.27803814 -0.39376143
  4.031611  ]",gpt2-small
6,Hippocrates was from the country of,0,6,"[ 4.132101    4.234078    2.4145856  ...  0.75175226 -2.105768
  4.985013  ]",gpt2-small
7,Hippocrates was from the country of,0,7,[ 2.7972498  3.6761165  2.0486648 ... -2.0922241 -1.4764433  3.3728404],gpt2-small
8,Hippocrates was from the country of,0,8,"[ 3.402887    4.799807    1.3900383  ... -3.177618    0.47825825
  3.0372636 ]",gpt2-small
9,Hippocrates was from the country of,0,9,[ 1.7800245  3.2801156  2.6600676 ... -1.9370708  3.840787   1.0861039],gpt2-small
10,Hippocrates was from the country of,0,10,"[ 6.0295706   5.0205274   2.4222028  ...  0.32126796 -1.1817038
  4.5440745 ]",gpt2-small
11,Hippocrates was from the country of,0,11,"[ 4.0696836   5.9433312   3.5582843  ...  0.29255617 -1.7144657
  3.1638446 ]",gpt2-small
0,Hippocrates was from the country of,1,0,"[ 3.8835042   3.7465563   1.7860432  ... -0.72538555 -0.31649205
  4.075322  ]",gpt2-small
1,Hippocrates was from the country of,1,1,[ 4.022421   4.3645935  1.1682044 ... -1.1678971 -0.6410359  2.8798518],gpt2-small
2,Hippocrates was from the country of,1,2,"[ 2.8955102   2.3089476   1.9742358  ... -0.41841868  1.2743356
  3.0361624 ]",gpt2-small
3,Hippocrates was from the country of,1,3,"[ 5.0041747   5.4317546   3.5412867  ... -0.9735751   0.60277164
  4.4490266 ]",gpt2-small
4,Hippocrates was from the country of,1,4,"[ 2.7181869   4.2425985   1.6239142  ... -0.26723135 -1.6666191
  3.951407  ]",gpt2-small
5,Hippocrates was from the country of,1,5,"[ 2.903463    0.8439026  -0.07616568 ... -0.5329594   0.31594038
  3.0514293 ]",gpt2-small
6,Hippocrates was from the country of,1,6,[ 2.381683   3.3765593  1.8015839 ...  0.2352128 -1.3158723  4.078266 ],gpt2-small
7,Hippocrates was from the country of,1,7,[ 4.579725   5.786843   2.8549685 ... -1.8283285  0.683813   3.3946552],gpt2-small
8,Hippocrates was from the country of,1,8,[ 4.6209526  4.82167    1.9721768 ... -1.2457283 -1.3589698  4.462771 ],gpt2-small
9,Hippocrates was from the country of,1,9,"[ 3.9779205   4.519286    2.251605   ... -1.0086876  -0.75958145
  4.287544  ]",gpt2-small
10,Hippocrates was from the country of,1,10,"[ 2.4611151   2.5143356   1.5609242  ... -0.91673005  0.6401539
  3.7775908 ]",gpt2-small
11,Hippocrates was from the country of,1,11,[ 2.9953685  4.5302896  3.4879227 ... -1.0587004 -1.9376276  4.4997244],gpt2-small
0,Hippocrates was from the country of,2,0,"[ 5.177025    4.6556273   1.8848218  ... -2.0021625   0.06856728
  5.5369425 ]",gpt2-small
1,Hippocrates was from the country of,2,1,"[ 3.8060439   4.1953187   2.1036556  ... -0.64431345  0.12758005
  4.0018144 ]",gpt2-small
2,Hippocrates was from the country of,2,2,"[ 3.9235396   4.5900474   1.6296264  ...  0.1290927  -0.30065352
  5.050974  ]",gpt2-small
3,Hippocrates was from the country of,2,3,"[ 3.4204216   2.821072    3.0852988  ... -0.92455137 -1.7583791
  4.160295  ]",gpt2-small
4,Hippocrates was from the country of,2,4,[ 5.541238   4.807617   1.399853  ... -1.4527411 -1.2532438  4.642447 ],gpt2-small
5,Hippocrates was from the country of,2,5,"[ 4.773381    4.8358507   1.09795    ... -0.99793154 -0.2534509
  5.0541134 ]",gpt2-small
6,Hippocrates was from the country of,2,6,"[ 2.7418816   4.302791    0.7607051  ... -0.65510046 -1.2048447
  3.683771  ]",gpt2-small
7,Hippocrates was from the country of,2,7,[ 4.6318483  4.6848893  3.0852873 ... -1.7533741 -0.5160716  3.880409 ],gpt2-small
8,Hippocrates was from the country of,2,8,"[ 3.4841042   3.8533428   0.8394239  ... -2.3008785  -0.83755606
  3.3559525 ]",gpt2-small
9,Hippocrates was from the country of,2,9,[ 3.1748633  3.999912   3.444816  ... -0.4803052  0.4330815  2.5412862],gpt2-small
10,Hippocrates was from the country of,2,10,[ 2.973866   2.2719834  2.725462  ...  1.5564713 -1.6713378  1.3071895],gpt2-small
11,Hippocrates was from the country of,2,11,"[ 4.4148765   4.8092065   1.2832246  ... -1.2917024  -0.03023416
  4.9920883 ]",gpt2-small
0,Hippocrates was from the country of,3,0,[ 4.102291   3.8370633  1.2294719 ... -1.5696474 -1.6921365  4.0112214],gpt2-small
1,Hippocrates was from the country of,3,1,"[ 3.1267881   2.878167    2.0784934  ... -0.11323875 -0.555122
  4.240264  ]",gpt2-small
2,Hippocrates was from the country of,3,2,[ 4.2586675  4.2027197  1.4963603 ... -0.9180823 -0.8463744  5.3308706],gpt2-small
3,Hippocrates was from the country of,3,3,[ 4.8520794  4.1808357  1.616031  ...  0.435287  -1.823193   5.4537916],gpt2-small
4,Hippocrates was from the country of,3,4,"[ 3.8001842   5.1187763   3.0836248  ... -0.518874    0.42049003
  4.4491644 ]",gpt2-small
5,Hippocrates was from the country of,3,5,[ 3.261799   4.3816404  2.2672882 ... -1.3057945 -0.8028748  3.6613696],gpt2-small
6,Hippocrates was from the country of,3,6,"[ 3.86771     4.8429513   3.0979395  ... -1.0237596  -0.45973822
  4.1363835 ]",gpt2-small
7,Hippocrates was from the country of,3,7,"[ 3.8411782   4.379502    3.371054   ... -0.49081254 -0.10273552
  3.7574396 ]",gpt2-small
8,Hippocrates was from the country of,3,8,[ 4.5461793  4.1908727  1.4083526 ... -1.7343017 -0.2888265  4.806544 ],gpt2-small
9,Hippocrates was from the country of,3,9,"[ 4.3628645   4.588595    2.129799   ... -1.6317717  -0.82674193
  3.7827094 ]",gpt2-small
10,Hippocrates was from the country of,3,10,[3.50426    3.6618927  1.5161327  ... 0.50570035 0.45320678 3.5036745 ],gpt2-small
11,Hippocrates was from the country of,3,11,[ 4.284966   4.092414   1.6171927 ... -1.0103152 -1.2033963  4.0662947],gpt2-small
0,Hippocrates was from the country of,4,0,[ 3.7830317  3.6900218  1.2890695 ... -0.6488369 -0.9376644  4.680265 ],gpt2-small
1,Hippocrates was from the country of,4,1,"[ 3.855921    3.8408873   1.0678375  ... -0.6331912  -0.41084963
  4.56673   ]",gpt2-small
2,Hippocrates was from the country of,4,2,[ 3.362704   3.90276    1.4802401 ... -0.574296  -0.4468888  3.7882633],gpt2-small
3,Hippocrates was from the country of,4,3,[ 4.2074647  4.510951   3.830324  ... -1.2791271 -1.3486537  3.8694508],gpt2-small
4,Hippocrates was from the country of,4,4,"[ 4.5130506   3.7408144   2.479692   ... -0.27070493 -1.2467349
  4.295213  ]",gpt2-small
5,Hippocrates was from the country of,4,5,[ 4.529484   4.9094133  1.5770917 ... -1.6020808 -1.6299657  4.297944 ],gpt2-small
6,Hippocrates was from the country of,4,6,[ 4.2256846  4.4478054  1.6627156 ... -1.1173525 -0.368843   3.583263 ],gpt2-small
7,Hippocrates was from the country of,4,7,"[ 2.314109    3.2824087   1.2084646  ... -0.50313795 -0.34185478
  3.1177886 ]",gpt2-small
8,Hippocrates was from the country of,4,8,"[ 3.8039956   4.156245    2.308738   ... -0.35954523 -0.56952137
  4.0812035 ]",gpt2-small
9,Hippocrates was from the country of,4,9,[ 3.461607   3.4205346  1.6390359 ... -1.8170736 -1.0060389  3.7367263],gpt2-small
10,Hippocrates was from the country of,4,10,"[ 4.4666038   4.5884767   2.2697418  ... -0.62477535 -0.887602
  4.326544  ]",gpt2-small
11,Hippocrates was from the country of,4,11,"[ 3.5581706   4.299013    1.7708488  ... -0.32950032  0.33083296
  4.4560237 ]",gpt2-small
0,Hippocrates was from the country of,5,0,[ 4.1830173  3.9974246  2.1545105 ... -0.5416547 -0.6388393  4.3397403],gpt2-small
1,Hippocrates was from the country of,5,1,"[ 4.3683624   4.6718245   2.4779768  ... -1.8894086  -0.77560997
  4.0840774 ]",gpt2-small
2,Hippocrates was from the country of,5,2,"[ 3.4066942   2.80731     1.8176506  ... -1.4172769  -0.16345716
  3.8486695 ]",gpt2-small
3,Hippocrates was from the country of,5,3,"[ 3.3793292   4.3780704   1.6200831  ... -1.2252152  -0.81805444
  3.6917572 ]",gpt2-small
4,Hippocrates was from the country of,5,4,[4.2890134  3.912866   2.8580966  ... 0.5821793  0.45740938 5.061652  ],gpt2-small
5,Hippocrates was from the country of,5,5,[ 4.2974954  5.0111985  2.4124231 ... -1.9051578 -1.4549451  4.0653076],gpt2-small
6,Hippocrates was from the country of,5,6,"[ 3.8740377   3.81193     1.7577313  ... -0.12040246 -0.41033334
  4.1958613 ]",gpt2-small
7,Hippocrates was from the country of,5,7,[ 5.3311186  3.6952724  1.9859313 ... -1.3296273 -5.1348886  5.384056 ],gpt2-small
8,Hippocrates was from the country of,5,8,"[ 3.769883    3.7239916   3.446813   ... -0.58925545  0.0536896
  3.651237  ]",gpt2-small
9,Hippocrates was from the country of,5,9,[3.1960535  4.782221   2.6613712  ... 0.958599   0.18842357 4.354024  ],gpt2-small
10,Hippocrates was from the country of,5,10,"[ 3.727125    4.3311014   2.8273213  ... -0.08581126 -2.4375296
  3.8099554 ]",gpt2-small
11,Hippocrates was from the country of,5,11,"[ 4.7461514   3.0470047   0.27053547 ... -1.1305177  -0.7492511
  3.5291278 ]",gpt2-small
0,Hippocrates was from the country of,6,0,[ 3.8537498  4.462973   3.8343081 ... -3.542499  -1.2315295  3.0709844],gpt2-small
1,Hippocrates was from the country of,6,1,[ 4.525728   4.412555   1.8476183 ... -0.7418896 -0.3017241  4.7426767],gpt2-small
2,Hippocrates was from the country of,6,2,"[ 3.5828788   5.768014    1.3104172  ... -0.19419503 -0.7096455
  3.7925656 ]",gpt2-small
3,Hippocrates was from the country of,6,3,"[ 3.457724    4.3494      2.4924543  ... -0.80013144 -0.9182789
  4.727325  ]",gpt2-small
4,Hippocrates was from the country of,6,4,"[ 4.822142    4.2331557   1.6499149  ... -0.43098652 -0.8370905
  3.554702  ]",gpt2-small
5,Hippocrates was from the country of,6,5,[ 4.123262   3.9291375  1.4082409 ... -0.6043215 -1.4840194  4.105952 ],gpt2-small
6,Hippocrates was from the country of,6,6,[ 2.5256767  3.3111181  1.580352  ... -0.4686374 -0.5291248  3.9086764],gpt2-small
7,Hippocrates was from the country of,6,7,"[ 3.831737    4.4180346   2.9624596  ... -0.42758197 -1.2135146
  4.2256246 ]",gpt2-small
8,Hippocrates was from the country of,6,8,"[ 3.8961947   3.2070942   1.4131446  ...  0.20634401 -0.0239048
  3.1156573 ]",gpt2-small
9,Hippocrates was from the country of,6,9,[ 4.852518   4.7267456  2.6732836 ... -1.0917635 -0.6117563  4.9890556],gpt2-small
10,Hippocrates was from the country of,6,10,"[ 3.7327888   4.2909236   2.5250497  ... -0.34760046  0.02568871
  4.918125  ]",gpt2-small
11,Hippocrates was from the country of,6,11,"[ 3.5573838   3.8208506   1.760776   ... -0.67438805 -0.10709637
  3.67491   ]",gpt2-small
0,Hippocrates was from the country of,7,0,"[ 4.33009     4.9503984   1.8496825  ... -1.0853379  -0.39198953
  2.8893845 ]",gpt2-small
1,Hippocrates was from the country of,7,1,"[ 3.8596857   4.2645907   2.157153   ... -0.37373805 -1.0251596
  3.740426  ]",gpt2-small
2,Hippocrates was from the country of,7,2,"[ 3.6329303   3.872956    1.7236731  ... -0.98123413 -0.5390783
  4.204881  ]",gpt2-small
3,Hippocrates was from the country of,7,3,[ 4.9512963  5.345082   3.0196276 ... -1.3918154 -0.6740744  4.0214553],gpt2-small
4,Hippocrates was from the country of,7,4,[ 4.0407987  4.3401656  2.2160692 ... -0.8301991 -0.5126243  4.957026 ],gpt2-small
5,Hippocrates was from the country of,7,5,[ 4.1725764  5.2967825  2.210865  ...  1.4274528 -0.5517029  2.4994314],gpt2-small
6,Hippocrates was from the country of,7,6,[ 4.934144   4.6005287  2.8548217 ... -0.017066  -0.8056731  3.2845669],gpt2-small
7,Hippocrates was from the country of,7,7,"[ 3.3725884   3.7929835   1.771519   ... -0.67593557 -0.66909236
  4.3953905 ]",gpt2-small
8,Hippocrates was from the country of,7,8,[ 4.324397   4.265992   2.5575147 ... -0.8530126 -1.1903571  4.309669 ],gpt2-small
9,Hippocrates was from the country of,7,9,"[ 2.5410154   3.2531357   0.89159524 ... -1.1028383  -1.3909
  3.8242543 ]",gpt2-small
10,Hippocrates was from the country of,7,10,[ 4.5408487  4.2314687  2.3474839 ... -1.1992956 -1.1190157  4.1846666],gpt2-small
11,Hippocrates was from the country of,7,11,"[ 4.6885877   4.365255    2.3357143  ... -0.58212495 -0.09304219
  4.2029157 ]",gpt2-small
0,Hippocrates was from the country of,8,0,[ 3.1169555  3.6894968  2.4342453 ... -0.3869743 -0.7468183  3.4882677],gpt2-small
1,Hippocrates was from the country of,8,1,"[ 4.5227914   4.5904455   1.9538057  ... -0.7644826  -0.33124432
  4.5151396 ]",gpt2-small
2,Hippocrates was from the country of,8,2,"[ 4.0735364   4.722919    0.9876684  ... -0.2515344   0.01950461
  3.9556963 ]",gpt2-small
3,Hippocrates was from the country of,8,3,"[ 3.177017    3.2991955   1.8096104  ... -0.99073654 -0.13912588
  4.4816046 ]",gpt2-small
4,Hippocrates was from the country of,8,4,"[ 4.6979966   4.7429056   1.3648825  ...  0.24381721 -0.40001702
  4.0561934 ]",gpt2-small
5,Hippocrates was from the country of,8,5,"[ 4.1095276   2.5650759   0.280743   ...  0.45420206 -0.23100126
  3.057911  ]",gpt2-small
6,Hippocrates was from the country of,8,6,"[ 4.5348105   4.55365     2.3173773  ... -0.66383284  0.10744399
  4.3714747 ]",gpt2-small
7,Hippocrates was from the country of,8,7,[3.7015872  3.6157482  3.0459108  ... 0.8068602  0.99733305 3.6338754 ],gpt2-small
8,Hippocrates was from the country of,8,8,[ 4.182249   4.4781985  2.183064  ... -0.6305548 -0.8132773  4.195446 ],gpt2-small
9,Hippocrates was from the country of,8,9,"[ 5.132836    4.254147    3.332284   ...  0.6832241  -0.29163647
  4.265331  ]",gpt2-small
10,Hippocrates was from the country of,8,10,[ 4.154919   4.308878   4.2585316 ... -4.7913184 -2.2801104  4.765377 ],gpt2-small
11,Hippocrates was from the country of,8,11,"[ 2.0223632   3.5910232  -1.2665353  ... -0.05077291 -0.05892837
  2.9319053 ]",gpt2-small
0,Hippocrates was from the country of,9,0,"[ 4.0734234   4.236364    1.8943524  ... -0.42979756 -0.6558323
  3.9519954 ]",gpt2-small
1,Hippocrates was from the country of,9,1,"[ 4.5745654   4.4770684   3.0166392  ... -0.43581402 -0.19970006
  4.946946  ]",gpt2-small
2,Hippocrates was from the country of,9,2,"[ 4.133118    4.0756435   2.3062098  ... -0.7277769  -0.15957785
  4.3250585 ]",gpt2-small
3,Hippocrates was from the country of,9,3,"[ 3.1726034   2.601912    0.7994894  ...  2.678616   -0.22628945
  1.7961369 ]",gpt2-small
4,Hippocrates was from the country of,9,4,"[ 3.9874444   2.7085087   1.7083645  ... -0.902423   -0.43183297
  5.7041626 ]",gpt2-small
5,Hippocrates was from the country of,9,5,[ 4.6852527  5.6880083  2.7227645 ... -6.244108  -1.9828544  5.446495 ],gpt2-small
6,Hippocrates was from the country of,9,6,[ 3.5257013  3.7133925  1.4817641 ... -0.8724019 -1.3968929  3.522248 ],gpt2-small
7,Hippocrates was from the country of,9,7,[4.5117216  4.865443   2.1049187  ... 0.02517557 0.03681409 2.8989427 ],gpt2-small
8,Hippocrates was from the country of,9,8,[ 6.0531416  2.2737646 -2.2615042 ...  3.5426064  3.0147803  2.4934974],gpt2-small
9,Hippocrates was from the country of,9,9,[ 3.887474   4.0170107  2.476917  ... -2.3259025 -0.6953646  4.4705157],gpt2-small
10,Hippocrates was from the country of,9,10,[2.9209828 3.6249757 1.6881001 ... 0.3303628 0.3434055 3.2679243],gpt2-small
11,Hippocrates was from the country of,9,11,"[ 4.16333     3.7222896   0.44344068 ... -0.5700648  -0.26444072
  4.054863  ]",gpt2-small
0,Hippocrates was from the country of,10,0,"[ 3.968126    4.5423765   1.6001368  ... -0.05819374 -0.8210286
  3.453061  ]",gpt2-small
1,Hippocrates was from the country of,10,1,"[ 4.7492924   3.8073602   2.0426085  ... -0.77302814 -0.40081894
  4.7084126 ]",gpt2-small
2,Hippocrates was from the country of,10,2,"[ 4.1694117   4.7224574  -0.98324823 ... -0.1819852   0.5157641
  4.3793764 ]",gpt2-small
3,Hippocrates was from the country of,10,3,[ 4.4494953  6.3394957  2.4321032 ...  0.1751405 -0.1278519  4.254722 ],gpt2-small
4,Hippocrates was from the country of,10,4,"[ 0.02690887 -1.0442691   0.7468108  ...  0.87869513  0.04394597
  3.1182823 ]",gpt2-small
5,Hippocrates was from the country of,10,5,"[ 4.555787    4.222168    1.8341515  ... -0.24353373 -0.5283015
  4.1520596 ]",gpt2-small
6,Hippocrates was from the country of,10,6,[ 4.1016135  4.340442   2.057595  ... -3.1143126  1.038765   4.418448 ],gpt2-small
7,Hippocrates was from the country of,10,7,"[ 3.5952225   5.387362    4.6750245  ... -0.14374316 -2.626173
  4.3182325 ]",gpt2-small
8,Hippocrates was from the country of,10,8,[ 3.2115886  3.880386   1.1831691 ... -1.0147419 -0.749913   4.152007 ],gpt2-small
9,Hippocrates was from the country of,10,9,[ 3.2997205  3.646607   1.2971725 ... -0.3838775 -1.2207136  2.7832246],gpt2-small
10,Hippocrates was from the country of,10,10,[ 3.6083918  3.673555   2.0845406 ... -1.6826167 -1.079889   3.8531337],gpt2-small
11,Hippocrates was from the country of,10,11,"[ 4.1239653   3.736465    1.5538131  ...  0.37605095 -0.25098896
  4.4748163 ]",gpt2-small
0,Hippocrates was from the country of,11,0,[ 4.916038   3.3931189 -0.5267987 ...  1.2748742  5.158644  -6.8895073],gpt2-small
1,Hippocrates was from the country of,11,1,"[ 4.8165236   4.142248    0.27311647 ... -2.3989396  -3.9661324
  5.1954255 ]",gpt2-small
2,Hippocrates was from the country of,11,2,[5.1901774  4.8572817  2.314016   ... 0.25155377 0.41598582 5.9657583 ],gpt2-small
3,Hippocrates was from the country of,11,3,"[ 4.0392876   4.3265495   1.9978759  ... -1.2103126  -0.74147284
  4.3750668 ]",gpt2-small
4,Hippocrates was from the country of,11,4,"[ 3.8901243   2.880187   -1.1024871  ... -1.7410958  -0.19237447
  3.1557806 ]",gpt2-small
5,Hippocrates was from the country of,11,5,"[ 3.744469    4.006279    1.7494943  ... -0.6703374  -0.28230298
  3.5194113 ]",gpt2-small
6,Hippocrates was from the country of,11,6,"[ 3.7268066   4.621518    1.9215524  ... -1.1977006   0.18592614
  5.029547  ]",gpt2-small
7,Hippocrates was from the country of,11,7,"[ 3.0568476   4.4946384   3.4671097  ...  0.02824253 -0.45395556
  4.639948  ]",gpt2-small
8,Hippocrates was from the country of,11,8,[ 2.0795093  2.449893   4.9959755 ... -3.324245  -4.5488544 13.827606 ],gpt2-small
9,Hippocrates was from the country of,11,9,[ 4.7613735  5.18968    2.6305983 ... -2.5900526 -0.5341943  4.913281 ],gpt2-small
10,Hippocrates was from the country of,11,10,"[ 3.0388916   3.4224305   0.6353495  ...  0.27072847 -0.34796023
  3.588756  ]",gpt2-small
11,Hippocrates was from the country of,11,11,"[ 4.3113713   4.2142496   2.1704094  ... -0.4624442  -0.58853734
  5.1278496 ]",gpt2-small
0,Albert Einstein was known for developing the theory of,0,0,[3.5358157  4.301163   1.9007922  ... 0.1662023  0.44632328 2.866907  ],gpt2-small
1,Albert Einstein was known for developing the theory of,0,1,"[ 2.9033887   3.5129907   0.26983047 ... -2.7754867  -2.6246555
  4.5337815 ]",gpt2-small
2,Albert Einstein was known for developing the theory of,0,2,"[ 4.301188    4.4520726   2.4573827  ... -0.520025   -0.21930641
  4.2442827 ]",gpt2-small
3,Albert Einstein was known for developing the theory of,0,3,"[ 3.5873833   3.9559648   1.2212595  ... -0.23152304 -0.13956416
  3.903517  ]",gpt2-small
4,Albert Einstein was known for developing the theory of,0,4,[ 3.931501   4.1324544  2.8888617 ... -1.2286563 -1.0861189  4.4078827],gpt2-small
5,Albert Einstein was known for developing the theory of,0,5,"[ 2.7899506   3.8443      1.5974221  ... -0.1852982  -0.34009606
  3.9639983 ]",gpt2-small
6,Albert Einstein was known for developing the theory of,0,6,[ 3.319477   3.342118   1.9351982 ...  1.5974615 -2.011948   4.960993 ],gpt2-small
7,Albert Einstein was known for developing the theory of,0,7,[ 2.7894557  3.5290134  2.255475  ... -2.052239  -1.7688534  3.889302 ],gpt2-small
8,Albert Einstein was known for developing the theory of,0,8,"[ 3.4972293   4.9329348   1.5501909  ... -3.1112452   0.27907872
  3.0821111 ]",gpt2-small
9,Albert Einstein was known for developing the theory of,0,9,[ 2.2177882  3.2238278  2.3591375 ... -1.7618566  3.419343   1.6386311],gpt2-small
10,Albert Einstein was known for developing the theory of,0,10,[ 6.0398235  4.9457865  2.218355  ...  0.3217585 -1.5376588  4.477989 ],gpt2-small
11,Albert Einstein was known for developing the theory of,0,11,[ 4.3014555  6.209407   3.4679022 ...  0.3428377 -1.7771232  3.2476287],gpt2-small
0,Albert Einstein was known for developing the theory of,1,0,"[ 3.5640047   4.4347506   2.0613244  ... -0.96065825 -0.4879838
  4.065241  ]",gpt2-small
1,Albert Einstein was known for developing the theory of,1,1,[ 3.2512996  4.4339066  1.3530066 ... -0.6158098 -0.9550127  2.8672905],gpt2-small
2,Albert Einstein was known for developing the theory of,1,2,"[ 2.858077    2.4123523   2.1287358  ... -0.45568448  1.5011759
  3.040822  ]",gpt2-small
3,Albert Einstein was known for developing the theory of,1,3,"[ 4.9738035   5.5320168   3.4533718  ... -0.9085113   0.69061637
  4.584299  ]",gpt2-small
4,Albert Einstein was known for developing the theory of,1,4,"[ 2.5724456   3.9577994   1.1511142  ...  0.21082544 -1.7942789
  3.9758554 ]",gpt2-small
5,Albert Einstein was known for developing the theory of,1,5,"[ 2.7427404   1.5148544   0.36951745 ... -0.48744863  0.16006774
  3.0630033 ]",gpt2-small
6,Albert Einstein was known for developing the theory of,1,6,[ 2.3426838  3.532397   2.3039258 ... -0.4568025 -1.7854049  4.0304236],gpt2-small
7,Albert Einstein was known for developing the theory of,1,7,[ 3.766912   5.5840645  2.1761014 ... -1.9680758  0.6745808  3.104703 ],gpt2-small
8,Albert Einstein was known for developing the theory of,1,8,[ 4.6217413  4.9531827  1.9811101 ... -0.9077646 -1.183427   4.210398 ],gpt2-small
9,Albert Einstein was known for developing the theory of,1,9,[ 4.0671225  4.6666055  1.8230741 ... -1.3002298 -0.7245798  3.9307847],gpt2-small
10,Albert Einstein was known for developing the theory of,1,10,[ 2.4926376  2.7802348  1.9457338 ... -0.7788218  0.6207218  3.8843236],gpt2-small
11,Albert Einstein was known for developing the theory of,1,11,[ 4.1005163  4.8246117  3.6574697 ... -1.2152327 -1.9425045  4.6559653],gpt2-small
0,Albert Einstein was known for developing the theory of,2,0,"[ 5.238678    4.5104885   1.7691437  ... -1.6719422  -0.21775475
  5.3723307 ]",gpt2-small
1,Albert Einstein was known for developing the theory of,2,1,"[ 3.416393    4.3361506   2.1862297  ... -1.2826426   0.02375406
  3.9522123 ]",gpt2-small
2,Albert Einstein was known for developing the theory of,2,2,"[ 4.078997    4.461155    1.6729174  ...  0.30677795 -1.4699147
  5.3530793 ]",gpt2-small
3,Albert Einstein was known for developing the theory of,2,3,[ 3.4769115  2.9519234  2.8726761 ... -0.5321294 -1.8802618  4.0659027],gpt2-small
4,Albert Einstein was known for developing the theory of,2,4,[ 3.7551332  5.130469   3.9167523 ... -2.5243754 -1.6119037  4.101285 ],gpt2-small
5,Albert Einstein was known for developing the theory of,2,5,"[ 4.6329684   5.084314    1.3095908  ... -0.640365   -0.23489052
  4.55694   ]",gpt2-small
6,Albert Einstein was known for developing the theory of,2,6,[ 2.8121076  4.603299   0.923684  ... -0.6878393 -1.2259923  3.7320578],gpt2-small
7,Albert Einstein was known for developing the theory of,2,7,"[ 4.6642594   4.650911    3.2887506  ... -1.5108961   0.16953754
  4.18439   ]",gpt2-small
8,Albert Einstein was known for developing the theory of,2,8,"[ 3.2639134   3.8012087   0.5739536  ... -1.3514242   0.01611102
  4.1113677 ]",gpt2-small
9,Albert Einstein was known for developing the theory of,2,9,"[ 3.6336575   3.7965388   2.646061   ...  0.729944   -0.25153875
  3.066582  ]",gpt2-small
10,Albert Einstein was known for developing the theory of,2,10,"[ 2.4500368   2.2613077   2.5367298  ...  2.0558076  -1.7060713
  0.83516574]",gpt2-small
11,Albert Einstein was known for developing the theory of,2,11,"[ 4.4068956   4.8055954   1.1701276  ... -1.3769205  -0.04770702
  4.8749394 ]",gpt2-small
0,Albert Einstein was known for developing the theory of,3,0,[ 4.1171403  3.8242006  1.2378187 ... -1.5412265 -1.650794   4.022133 ],gpt2-small
1,Albert Einstein was known for developing the theory of,3,1,"[ 3.161306    3.4405713   2.2093384  ...  0.10018778 -0.6915366
  3.581927  ]",gpt2-small
2,Albert Einstein was known for developing the theory of,3,2,"[ 4.1454906   4.045876    2.7792678  ... -1.3975084  -0.43721956
  5.2267284 ]",gpt2-small
3,Albert Einstein was known for developing the theory of,3,3,"[ 3.8709924   5.134534    3.814705   ... -0.03239524 -2.0096185
  4.6467724 ]",gpt2-small
4,Albert Einstein was known for developing the theory of,3,4,"[ 3.8663955   5.2523966   3.0487592  ... -0.5256726   0.26090944
  4.6039867 ]",gpt2-small
5,Albert Einstein was known for developing the theory of,3,5,[ 3.0520208  4.2424626  2.2346869 ... -0.9156152 -1.1460059  3.5211968],gpt2-small
6,Albert Einstein was known for developing the theory of,3,6,[ 3.9634457  4.4776134  2.9012337 ... -1.2841445 -0.937137   4.602328 ],gpt2-small
7,Albert Einstein was known for developing the theory of,3,7,"[ 3.3512444   3.5351229   2.5658574  ... -0.29973948 -1.2350807
  3.715166  ]",gpt2-small
8,Albert Einstein was known for developing the theory of,3,8,[ 3.6551745  4.373724   1.0997534 ... -1.2888501 -0.7929288  4.5300493],gpt2-small
9,Albert Einstein was known for developing the theory of,3,9,[ 3.8044703  4.9416533  2.3197622 ... -2.350718  -0.885992   3.9692357],gpt2-small
10,Albert Einstein was known for developing the theory of,3,10,"[ 3.747946    3.4820225   0.16725314 ... -1.0138165   0.9521899
  3.591783  ]",gpt2-small
11,Albert Einstein was known for developing the theory of,3,11,"[ 3.53025     4.0009947   0.0693593  ...  0.30345416 -0.89478844
  3.899055  ]",gpt2-small
0,Albert Einstein was known for developing the theory of,4,0,[ 3.7455826  4.464922   1.9520597 ... -1.4272645 -1.2794807  4.5894165],gpt2-small
1,Albert Einstein was known for developing the theory of,4,1,[ 3.2359912  3.882555   2.2560492 ... -0.5738919 -2.0562587  4.398558 ],gpt2-small
2,Albert Einstein was known for developing the theory of,4,2,"[ 3.8510466   4.03892     0.5712533  ... -0.80174816 -0.25274822
  2.6471581 ]",gpt2-small
3,Albert Einstein was known for developing the theory of,4,3,"[ 3.5542243   4.2607346   2.9829478  ... -1.879142   -0.80584824
  3.9375882 ]",gpt2-small
